Instance,PeakMem(MB),Time(s)
mc2024_track1_074.pbo,5841.21,out_of_time
mc2024_track1_115.pbo,324.25,out_of_time
mc2024_track1_089.pbo,5.86,0.73
mc2024_track1_030.pbo,1.97,0.44
flat30-4.pbo,2.62,0.45
mc2024_track1_138.pbo,2805.72,out_of_time
flat100-3.pbo,3.94,0.63
mc2024_track1_076.pbo,1679.37,out_of_time
mc2024_track1_193.pbo,5242.76,out_of_time
mc2024_track1_188.pbo,646.89,out_of_time
mc2024_track1_059.pbo,246.88,out_of_time
mc2024_track1_141.pbo,1776.39,out_of_time
flat75-9.pbo,3.28,0.55
sw100-9.pbo,1675.39,out_of_time
mc2024_track1_191.pbo,4085.88,out_of_time
mc2024_track1_195.pbo,2068.09,out_of_time
mc2024_track1_023.pbo,272.97,733.60
mc2024_track1_072.pbo,1547.85,out_of_time
mc2024_track1_102.pbo,924.67,out_of_time
mc2024_track1_131.pbo,156.48,101.07
flat50-7.pbo,2.84,0.51
mc2024_track1_013.pbo,11.17,1.29
cnf_mo_prop_8_12004_2.cnf_0.00000000.sat.pbo,608.79,123.23
flat150-4.pbo,6.50,0.90
sw100-6.pbo,1191.60,out_of_time
logistics.d.pbo,3576.61,out_of_time
flat30-1.pbo,2.41,0.46
flat30-5.pbo,2.84,0.48
flat50-3.pbo,2.84,0.51
mc2024_track1_038.pbo,1712.20,out_of_time
mc2024_track1_154.pbo,14.27,4.51
mc2024_track1_198.pbo,3291.93,out_of_time
mc2024_track1_005.pbo,324.45,out_of_time
mc2024_track1_123.pbo,1195.51,out_of_time
mc2024_track1_096.pbo,933.76,1394.85
mc2024_track1_055.pbo,7.56,0.91
flat50-4.pbo,5.09,0.50
mc2024_track1_069.pbo,367.38,out_of_time
mc2024_track1_065.pbo,329.62,1328.02
flat100-9.pbo,3.94,0.71
mc2024_track1_122.pbo,2377.81,out_of_time
mc2024_track1_044.pbo,225.87,out_of_time
cnf_cbpmas_prop_20_19379_2.cnf_9.60000000.sat.pbo,4511.29,out_of_time
mc2024_track1_178.pbo,629.07,out_of_time
flat150-1.pbo,9.81,1.36
mc2024_track1_033.pbo,1714.34,out_of_time
mc2024_track1_162.pbo,1695.02,out_of_time
mc2024_track1_135.pbo,3715.87,out_of_time
mc2024_track1_051.pbo,2.19,0.56
flat150-3.pbo,6.94,0.90
mc2024_track1_087.pbo,6.12,0.71
mc2024_track1_027.pbo,3.94,0.50
sw100-5.pbo,1340.73,out_of_time
mc2024_track1_060.pbo,41.43,634.31
mc2024_track1_130.pbo,50.21,49.67
mc2024_track1_045.pbo,1232.34,out_of_time
mc2024_track1_021.pbo,576.72,out_of_time
cnf_cbpmas_prop_28_22074_2.cnf_6.85000000.sat.pbo,5197.11,out_of_time
flat125-1.pbo,3.94,0.73
mc2024_track1_037.pbo,731.78,out_of_time
mc2024_track1_150.pbo,468.21,out_of_time
mc2024_track1_012.pbo,1195.21,out_of_time
mc2024_track1_031.pbo,1.97,0.44
flat50-5.pbo,3.06,0.47
mc2024_track1_048.pbo,1180.72,out_of_time
