Instance,PeakMem(MB),Time(s)
mc2024_track1_054.pbo,5778.30,out_of_time
mc2024_track1_168.pbo,3616.77,out_of_time
mc2024_track1_110.pbo,2082.80,out_of_time
mc2024_track1_180.pbo,3968.99,out_of_time
mc2024_track1_124.pbo,18690.44,613.81
mc2024_track1_001.pbo,7270.89,out_of_time
mc2024_track1_159.pbo,6386.82,out_of_time
mc2024_track1_112.pbo,1666.43,out_of_time
sw100-11.pbo,4881.18,out_of_time
mc2024_track1_025.pbo,11153.29,out_of_time
mc2024_track1_160.pbo,14168.87,out_of_time
mc2024_track1_108.pbo,1717.04,out_of_time
sw100-12.pbo,2372.61,out_of_time
mc2024_track1_074.pbo,18388.96,508.24
mc2024_track1_115.pbo,1569.75,out_of_time
mc2024_track1_089.pbo,3732.82,out_of_time
mc2024_track1_030.pbo,1026.91,out_of_time
flat30-4.pbo,1462.30,out_of_time
mc2024_track1_138.pbo,17014.30,393.78
flat100-3.pbo,1630.25,out_of_time
mc2024_track1_076.pbo,17395.30,419.96
mc2024_track1_193.pbo,18184.25,505.32
mc2024_track1_188.pbo,1665.17,out_of_time
mc2024_track1_059.pbo,1588.29,out_of_time
mc2024_track1_141.pbo,8503.62,out_of_time
flat75-9.pbo,1861.89,out_of_time
sw100-9.pbo,3034.86,out_of_time
mc2024_track1_191.pbo,18308.02,521.44
mc2024_track1_195.pbo,16709.95,360.68
mc2024_track1_023.pbo,6761.84,out_of_time
mc2024_track1_072.pbo,17393.20,425.62
mc2024_track1_102.pbo,2857.56,out_of_time
mc2024_track1_131.pbo,2325.82,out_of_time
flat50-7.pbo,1570.95,out_of_time
mc2024_track1_013.pbo,19784.91,out_of_time
cnf_mo_prop_8_12004_2.cnf_0.00000000.sat.pbo,13236.26,out_of_time
flat150-4.pbo,5902.30,out_of_time
sw100-6.pbo,6020.55,out_of_time
logistics.d.pbo,10969.19,out_of_time
flat30-1.pbo,1143.78,out_of_time
flat30-5.pbo,930.59,out_of_time
flat50-3.pbo,1385.30,out_of_time
mc2024_track1_038.pbo,5340.41,out_of_time
mc2024_track1_154.pbo,6651.62,out_of_time
mc2024_track1_198.pbo,17280.10,400.85
mc2024_track1_005.pbo,1884.09,out_of_time
mc2024_track1_123.pbo,11823.34,out_of_time
mc2024_track1_096.pbo,17381.06,388.31
mc2024_track1_055.pbo,8716.66,out_of_time
flat50-4.pbo,1640.36,out_of_time
mc2024_track1_069.pbo,2795.70,out_of_time
mc2024_track1_065.pbo,1884.77,out_of_time
flat100-9.pbo,1818.36,out_of_time
mc2024_track1_122.pbo,17162.12,460.21
mc2024_track1_044.pbo,2260.29,out_of_time
cnf_cbpmas_prop_20_19379_2.cnf_9.60000000.sat.pbo,17460.22,469.96
mc2024_track1_178.pbo,2269.34,out_of_time
flat150-1.pbo,3784.72,out_of_time
mc2024_track1_033.pbo,3970.59,out_of_time
mc2024_track1_162.pbo,14096.01,out_of_time
mc2024_track1_135.pbo,18805.80,619.95
mc2024_track1_051.pbo,1297.63,out_of_time
flat150-3.pbo,2348.12,out_of_time
mc2024_track1_087.pbo,1629.74,out_of_time
mc2024_track1_027.pbo,4162.93,out_of_time
sw100-5.pbo,2595.19,out_of_time
mc2024_track1_060.pbo,1389.78,out_of_time
mc2024_track1_130.pbo,2410.73,out_of_time
mc2024_track1_045.pbo,209.03,out_of_time
mc2024_track1_021.pbo,16100.95,out_of_time
cnf_cbpmas_prop_28_22074_2.cnf_6.85000000.sat.pbo,17460.73,425.50
flat125-1.pbo,2116.64,out_of_time
mc2024_track1_037.pbo,4369.39,out_of_time
mc2024_track1_150.pbo,2281.89,out_of_time
mc2024_track1_012.pbo,16182.60,out_of_time
mc2024_track1_031.pbo,1437.80,out_of_time
flat50-5.pbo,1742.12,out_of_time
mc2024_track1_048.pbo,178.19,out_of_time
