Instance,PeakMem(MB),Time(s)
mc2024_track1_032.pbo,1334.30,out_of_time
mc2024_track1_017.pbo,8250.63,out_of_time
mc2024_track1_029.pbo,1449.42,out_of_time
ais10.pbo,926.46,out_of_time
cnf_cbpmas_prop_6_14201_2.cnf_8.90000000.sat.pbo,17251.94,445.71
flat100-8.pbo,1654.23,out_of_time
mc2024_track1_006.pbo,1738.92,out_of_time
flat125-2.pbo,3291.77,out_of_time
mc2024_track1_010.pbo,7917.75,out_of_time
logistics.a.pbo,4108.06,out_of_time
flat30-3.pbo,922.23,out_of_time
mc2024_track1_043.pbo,700.49,out_of_time
mc2024_track1_082.pbo,817.39,out_of_time
mc2024_track1_019.pbo,20832.89,out_of_time
mc2024_track1_117.pbo,583.34,out_of_time
mc2024_track1_080.pbo,783.70,out_of_time
mc2024_track1_097.pbo,18031.24,546.43
sw100-3.pbo,3226.91,out_of_time
mc2024_track1_058.pbo,1843.98,out_of_time
mc2024_track1_041.pbo,3342.84,out_of_time
mc2024_track1_105.pbo,2484.88,out_of_time
mc2024_track1_169.pbo,8945.87,out_of_time
ais6.pbo,742.52,out_of_time
mc2024_track1_003.pbo,1839.71,out_of_time
flat175-3.pbo,4750.96,out_of_time
logistics.b.pbo,3342.86,out_of_time
sw100-7.pbo,3841.40,out_of_time
flat175-5.pbo,3579.96,out_of_time
sw100-8.pbo,2619.43,out_of_time
mc2024_track1_024.pbo,23824.27,8266.44
mc2024_track1_163.pbo,10439.98,out_of_time
flat75-10.pbo,1238.14,out_of_time
mc2024_track1_004.pbo,5569.18,out_of_time
mc2024_track1_061.pbo,1285.93,out_of_time
flat125-4.pbo,2021.77,out_of_time
flat50-1.pbo,1755.74,out_of_time
mc2024_track1_075.pbo,17465.55,445.00
flat150-5.pbo,2317.62,out_of_time
mc2024_track1_079.pbo,1223.30,out_of_time
mc2024_track1_067.pbo,5683.13,out_of_time
mc2024_track1_140.pbo,16142.45,out_of_time
flat30-9.pbo,1274.27,out_of_time
cnf_cbpmas_prop_19_19151_2.cnf_0.00000000.sat.pbo,18166.15,out_of_time
mc2024_track1_054.pbo,4280.20,out_of_time
mc2024_track1_168.pbo,7415.45,out_of_time
mc2024_track1_110.pbo,1851.35,out_of_time
mc2024_track1_180.pbo,2894.79,out_of_time
mc2024_track1_124.pbo,18201.25,587.35
mc2024_track1_001.pbo,7281.00,out_of_time
mc2024_track1_159.pbo,8835.28,out_of_time
mc2024_track1_112.pbo,2486.21,out_of_time
sw100-11.pbo,1939.32,out_of_time
mc2024_track1_025.pbo,10237.22,out_of_time
mc2024_track1_160.pbo,10511.60,out_of_time
mc2024_track1_108.pbo,2239.80,out_of_time
sw100-12.pbo,3231.62,out_of_time
mc2024_track1_074.pbo,17579.29,492.82
mc2024_track1_115.pbo,1494.14,out_of_time
mc2024_track1_089.pbo,1942.46,out_of_time
mc2024_track1_030.pbo,473.16,out_of_time
flat30-4.pbo,781.25,out_of_time
mc2024_track1_138.pbo,16834.29,341.43
flat100-3.pbo,2099.20,out_of_time
mc2024_track1_076.pbo,16965.87,419.10
mc2024_track1_193.pbo,17449.09,478.88
mc2024_track1_188.pbo,2353.85,out_of_time
mc2024_track1_059.pbo,1599.53,out_of_time
mc2024_track1_141.pbo,9368.92,out_of_time
flat75-9.pbo,1928.25,out_of_time
sw100-9.pbo,3978.69,out_of_time
mc2024_track1_191.pbo,18007.63,517.65
mc2024_track1_195.pbo,16663.50,354.82
mc2024_track1_023.pbo,5150.68,out_of_time
mc2024_track1_072.pbo,16960.11,416.44
mc2024_track1_102.pbo,2369.86,out_of_time
mc2024_track1_131.pbo,2017.69,out_of_time
flat50-7.pbo,1674.05,out_of_time
mc2024_track1_013.pbo,7429.68,out_of_time
cnf_mo_prop_8_12004_2.cnf_0.00000000.sat.pbo,10638.23,out_of_time
flat150-4.pbo,4325.23,out_of_time
sw100-6.pbo,2720.41,out_of_time
logistics.d.pbo,17016.72,out_of_time
flat30-1.pbo,1573.17,out_of_time
flat30-5.pbo,1204.24,out_of_time
flat50-3.pbo,1429.18,out_of_time
mc2024_track1_038.pbo,4491.57,out_of_time
mc2024_track1_154.pbo,2380.98,out_of_time
mc2024_track1_198.pbo,16894.62,417.19
mc2024_track1_005.pbo,2169.18,out_of_time
mc2024_track1_123.pbo,17672.18,out_of_time
mc2024_track1_096.pbo,17222.97,403.86
mc2024_track1_055.pbo,9576.68,out_of_time
flat50-4.pbo,2036.80,out_of_time
mc2024_track1_069.pbo,1823.16,out_of_time
mc2024_track1_065.pbo,2640.41,out_of_time
flat100-9.pbo,4390.94,out_of_time
mc2024_track1_122.pbo,17083.50,429.55
mc2024_track1_044.pbo,1831.18,out_of_time
cnf_cbpmas_prop_20_19379_2.cnf_9.60000000.sat.pbo,17249.45,481.52
mc2024_track1_178.pbo,3238.06,out_of_time
flat150-1.pbo,2061.42,out_of_time
mc2024_track1_033.pbo,4159.62,out_of_time
mc2024_track1_162.pbo,16545.30,out_of_time
mc2024_track1_135.pbo,18416.90,578.43
mc2024_track1_051.pbo,1803.83,out_of_time
flat150-3.pbo,4199.95,out_of_time
mc2024_track1_087.pbo,2137.32,out_of_time
mc2024_track1_027.pbo,5003.64,out_of_time
sw100-5.pbo,2587.21,out_of_time
mc2024_track1_060.pbo,1120.52,out_of_time
mc2024_track1_130.pbo,2077.21,out_of_time
mc2024_track1_045.pbo,528.17,out_of_time
mc2024_track1_021.pbo,18773.74,out_of_time
cnf_cbpmas_prop_28_22074_2.cnf_6.85000000.sat.pbo,17247.54,440.49
flat125-1.pbo,1724.89,out_of_time
mc2024_track1_037.pbo,3827.91,out_of_time
mc2024_track1_150.pbo,4821.59,out_of_time
mc2024_track1_012.pbo,6927.00,out_of_time
mc2024_track1_031.pbo,1401.44,out_of_time
flat50-5.pbo,1785.81,out_of_time
mc2024_track1_048.pbo,360.41,out_of_time
